Review,y
simplistic ,0
it's so laddish and juvenile ,0
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ,0
[garbus] discards the potential for pathological study ,0
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . ,0
the story is also as unoriginal as they come ,0
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . ,0
not so much farcical as sour . ,0
unfortunately the story and the actors are served with a hack script . ,0
all the more disquieting for its relatively gore-free allusions to the serial murders ,0
a sentimental mess that never rings true . ,0
while the performances are often engaging ,0
interesting ,0
on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant ,0
while the ensemble player who gained notice in guy ritchie's lock ,0
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,0
nothing here seems as funny as it did in analyze this ,0
such master screenwriting comes courtesy of john pogue ,0
here ,0
this 100-minute movie only has about 25 minutes of decent material . ,0
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . ,0
on its own ,0
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . ,0
a farce of a parody of a comedy of a premise ,0
as exciting as all this exoticism might sound to the typical pax viewer ,0
the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . ,0
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie . ',0
the criticism never rises above easy ,0
the movie's something-borrowed construction feels less the product of loving ,0
stupid ,0
somewhere in the middle ,0
the action clichés just pile up . ,0
payami tries to raise some serious issues about iran's electoral process ,0
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . ,0
another useless recycling of a brutal mid-'70s american sports movie . ,0
i didn't laugh . i didn't smile . i survived . ,0
please ,0
most of the problems with the film don't derive from the screenplay ,0
 . . . if you're just in the mood for a fun -- but bad -- movie ,0
curling may be a unique sport but men with brooms is distinctly ordinary . ,0
though the opera itself takes place mostly indoors ,0
there's no getting around the fact that this is revenge of the nerds revisited -- again . ,0
the effort is sincere and the results are honest ,0
analyze that regurgitates and waters down many of the previous film's successes ,0
with flashbulb editing as cover for the absence of narrative continuity ,0
stinks from start to finish ,0
to the civilized mind ,0
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . ,0
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,0
everything is off . ,0
when seagal appeared in an orange prison jumpsuit ,0
an easy watch ,0
imagine the cleanflicks version of 'love story ,0
pc stability notwithstanding ,0
forget the misleading title ,0
an odd ,0
though her fans will assuredly have their funny bones tickled ,0
pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . ,0
a static and sugary little half-hour ,0
watching the chemistry between freeman and judd ,0
 . . . a pretentious and ultimately empty examination of a sick and evil woman . ,0
the country bears has no scenes that will upset or frighten young viewers . unfortunately ,0
the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long ,0
the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach . ,0
mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination . ,0
only in its final surprising shots does rabbit-proof fence find the authority it's looking for . ,0
isn't as sharp as the original . . . despite some visual virtues ,0
 . . . plays like a badly edited ,0
maybe leblanc thought ,0
what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height . ,0
barry sonnenfeld owes frank the pug big time,0
the biggest problem with roger avary's uproar against the mpaa is that ,0
so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along . ,0
i approached the usher and said that if she had to sit through it again ,0
earnest but heavy-handed . ,0
if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over . ,0
too slow for a younger crowd ,0
"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker . ",0
a punch line without a premise ,0
takes one character we don't like and another we don't believe ,0
the things this movie tries to get the audience to buy just won't fly with most intelligent viewers . ,0
even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate ,0
sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house . ,0
confuses its message with an ultimate desire to please ,0
deadly dull ,0
with this new rollerball ,0
one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off,0
a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room ,0
sex ironically has little to do with the story ,0
the script covers huge ,0
a portrait of alienation so perfect ,0
the code talkers deserved better than a hollow tribute . ,0
skip the film and buy the philip glass soundtrack cd . ,0
feels like a cold old man going through the motions . ,0
dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ? ,0
dull and mechanical ,0
there's no point of view ,0
beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental . ,0
has its moments -- and almost as many subplots . ,0
the gags ,0
completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque . ,0
narratively ,0
there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance . ,0
directors john musker and ron clements ,0
adam sandler's heart may be in the right place ,0
there's no doubting that this is a highly ambitious and personal project for egoyan ,0
despite engaging offbeat touches ,0
it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it . ,0
the movie is a mess from start to finish . ,0
the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than ,0
i'm not saying that ice age doesn't have some fairly pretty pictures ,0
in the telling of a story largely untold ,0
the plot is nothing but boilerplate clichés from start to finish ,0
terminally brain dead production . ,0
some episodes work ,0
beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics . ,0
j . lo will earn her share of the holiday box office pie ,0
rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre ,0
not only are the film's sopranos gags incredibly dated and unfunny ,0
wow . i have not been this disappointed by a movie in a long time . ,0
off the hook is overlong and not well-acted ,0
